spanish,wayuunaiki
"tom juro","ajuraajüshi tom"
"tomas lo intento","nu'ulaküin tomas"
"tomas lo intenta","nu'ulakajüin tomas"
"tomas voto","ajutushi tomas"
"tom camina","waraitüshi tom"
"tom saludo","asaküshi tom"
"tomas trabaja","a'yataashi tomas"
"confia en tom","poonoo nümaa tom"
"pruebatelo","pu'ulakapa pünain"
"esperen aqui","ja'atapaja ye'eyaa"
"abusado","e'ruushi amünii"
"nos podemos marchar","o'unushii waya"
"fallamos","otchejaashii waya"
"hemos fallado","wotchejaa amaalü"
"nos olvidamos","mo'otusü waa'in"
"lo vimos","we'erüin"
"lo veiamos","we'erapuuin"
"conversamos","yootüshii waya"
"nosotros esperamos","a'atapajüshii waya"
"veremos","we'ereerün"
"ya veremos","we'ereerü mapa"
"quien condujo","jaraichi chupetkai yaa"
"aabe","aawee"
"quien ira","jareechi o'unakai yaa"
"tu maneja","achupeerajüshi pia"
"pedazo de idiota","malawa'ata"
"tu empieza","pu'uta piakai"
"lo intentaste","pu'ulaküin"
"tu estas perfectamente","anasha'anashi ma'ain pia"
"estas perfectamente","anasha'anashi ma'ain"
"mas alto","yaletashaanashi"
"apuntad mas alto","pu'ulaka so'omüin sünain yaletasha'anain"
"tengo razon","pansaasü tatuman"
"respondanle a tomas","josokata nümüin tomas"
"tienes dieciocho","po'oloo mekiisalüirü pia"
"has cumplido dieciocho","pikeraajüin po'oloo mekiisalü juya"
"te apuntas","ouneechi pia"
"preguntenle a cualquiera","jasakiraa namüin eeke ein"
"pregunta por aqui","püsakiraa yaapüna"
"estate contento","talataa pia"
"llegue a tiempo","antaamatüshi taya"
"traed comida","püsaajaa eküülü"
"traed ayuda","püsaajaa akaaliijaa"
"trae vino","püsaajaa wino"
"puedo acercarme","eesü süpüla tarütkain"
"me puedo quedar","eesü süpüla makaatüin taya"
"lleva esto","piikajaa tüü"
"comprobad eso","pirajaa tia"
"comprueba esto","pirajaa tüü"
"escoge uno","püneekaaja waneeshi"
"ven solo","püntaa müiwa'a"
"vengan temprano","jantaa'matüin wattachon"
"venga temprano","püntaa wattachon"
"pasale","pülaneraa"
"pasenle","jalataa'ma"
"entra ya","pülataa'ma"
"metete dentro","pükerotaa paülü'ü"
"los hombres lloran","na tooloyuka a'yalajüshi"
"no vengas","nnojo püntüin"
"no mireis","nnojo pirakain"
"no cantes","nnojo pi'rajain"
"no pares","nnojo püsha'walüin"
"no esperen","nnojo ja'atapajüin"
"no chillen","nnojo jasoutain"
"el fuego quema","tü sikika asijaasü"
"sigalo a tomas","nuchiirua pia tomas"
"siganlo a tomas","ju'unaa nuchiirua tomas"
"siguele","nüchiirua pia"
"olvidate de tomas","motoo paa'in tomas"
"olvidese de tomas","motoo'ma paa'in tomas"
"olvidenlo","motoo jaa'in"
"perdonanos","ju'ulama tia"
"perdonenos","ju'ulama waya"
"consiguete una vida","püchajaa pukuwa'ipa"
"vayase a casa","pu'unama miichipa'amüin"
"dios existe","eeshi maleiwa"
"tengan fe","jüchechera janoula"
"tiro la toalla","nujutüin nainraka"
"descolgo","nükacherüin"
"el esta aqui","anii niakai ya'aya"
"el es gentil","niakai anamia"
"el es amable","niakai kamaneshi"
"el es generoso","niakai aapüin main"
"el es mezquino","niakai ichee ajapü"
"el es alto","niakai miyo'usenu"
"el se reia","asirajapüshi niakai"
"lo hizo el","naainjaala niakai"
"lo logro","naainküin"
"lo hizo","naainjaala"
"esta sin blanca","nnojotsü nüma kasuwo'uka"
"esta arruinado","nnojotsü kasa nüma'ana"
"el es cruel","niakai mojulashi"
"ve al sur","pu'unaa uuchimüin"
"helo aqui","anii nia"
"aqui esta el","aniisa niakai"
"aqui vamos","chairü waya"
"hey calmate","piakai pimalawaa"
"encantador","anashatasü main"
"es una preciosidad","anachonkai main saa'in"
"que tragico","alütaleesa"
"rapido a casa","mayaa cha miichipa"
"lo admito","aa taya tayakai"
"comi arroz","eküshi taya roo"
"yo lo rompi","tasolojüin"
"yo puedo ayudar","eesü süpüla takaaliijün"
"puedo saltar","eesü süpüla tawatüin"
"se leer","atijüshi taya aashaje eraa"
"solte una risita","tajütüin tasirain"
"lo dudo","nnojotsü toonoin amaa"
"como aqui","eküshi ya'aya"
"yo como aqui","eküshi taya ya'aya"
"yo como carne","eküshi taya asalaa"
"envidio a tom","tachumujüin tom"
"lo envidio","tachumujüin"
"me siento viejo","laülaasü taa'in"
"me puse enfermo","ayuuishi taya"
"lo he cogido","ani taapain"
"lo supongo","shiataja eere"
"odio a tom","kanainshi taa'in tom"
"te detesto","kanainsü pia taa'in"
"tengo uno","ani waneeshi tama'ana"
"yo tengo uno","eesü waneeshi tama'ana"
"le ayudo","takaaliijüin pia"
"conoci a tom","te'raajüichipa tom"
"la conozco","te'raajüin"
"lo conozco","te'raajüichipa"
"ahora se","tatüjaaipaa aau"
"me agrada tom","kamaneeshi tamüin tom"
"me gusta el","tacheküin niakai"
"el me gusta","nia niakai tachekaka"
"me agradas","kamaneeshi pia tamüin"
"permaneci","yaashi waneepia"
"yo lo amo","tamürajüin main"
"lo amo","tamürajüin"
"te quiero","tacheküin pia"
"te amo","tamürajüin pia"
"os amo","tamürajüin jia"
"necesito a tom","cho'ujaashi tamüin tom"
"necesito hielo","cho'ujaasü yeelo tamüin"
"objete","asouktüshi taya"
"prometi","müshi taya"
"yo me acuerdo","sotüipa taa'in"
"lo recuerdo","sotüsu taa'in tia"
"me sentaba","aikkalapünashi taya"
"vi eso","te'rüin tia"
"veia eso","te'rapüin tia"
"los veo","te'rüin jaya"
"las veo","te'rüin jia"
"dispare a tom","teitüin tom"
"sobrevivi","kataa o'uyülia"
"eso creo","shiaya saa'in tamüin"
"vomite","eetüshi taya"
"quiero a tom","tacheküin tom"
"quiero uno","tacheküin waneeshi"
"quiero una","tacheküin waneesia"
"yo quiero uno","tekei tacheküin waneeshi"
"era el ultimo","achiiruajapüshi"
"llegue tarde","antüshi taya mapan"
"yo estaba enferma","ayuupünashi tayaka"
"yo hago ejercicio","aainjüshi taya jetsisa"
"yo lo escribi","ashajüshi taya"
"estare bien","aneechi taya"
"lo hare yo","taainjerü tia"
"lo hare","taainjerü"
"soy un heroe","katsüinshi taya"
"soy un mentiroso","a'ala taya"
"soy gemelo","senkeyuushi taya"
"yo soy mejor","anamiashanashi taya"
"estoy comprando","ayalajüshi taya"
"soy torpe","malashi taya"
"ahi voy","cha'aichi taya"
"estoy comiendo","ekaashi taya"
"soy codicioso","kaünuurai taya"
"yo estoy escondido","ounjulaashi taya"
"me estoy moviendo","akutulaashi taya"
"soy normal","wayuulaa ne taya"
"estoy soltera","mamajünasü taya"
"estoy tan gorda","kaüsüüshatasü taya"
"lo estoy intentando","too ulaküin waneepia"
"me estoy esforzando","too'ulakashatüin"
"tengo doce","eesü tama'ana po'loo piamamüin"
"he comido","eküichipa taya"
"ignora a tom","nnojo poonoin nümaa tom"
"es grande tom","miyo'u chii tom"
"tiene calor tom","walatsüshi tom"
"esta fuera tom","chasii anooipa'a tom"
"es alto","yaletüshi"
"es gratis","maliasat"
"es seguro","pansaasü"
"acaso es asi","müinjatüche eera paashin"
"es asi","müinjatü maaya"
"es este","nia chi"
"eso pasa","alataapüsü tia"
"es de tom","najüin tom"
"esta vivo","kataa o'uchi nia"
"esta vacio","malu'usat"
"esta verde","türaa wüittüsü"
"es magia","kapülainsü"
"es de noche","aipa'asü"
"ha anochecido","aipa'ajasü"
"es blanco","kasuutolu"
"jesus lloro","jesus a'yalajüshi"
"tomen notas","jashajaa jaapajaka"
"guarden silencio","ko'utaa jia"
"mantenganse quietos","jimataa jaya waneepia"
"vamos a charlar","joo'uya yootai waya"
"besemonos","joo'uya wachu'laai"
"cantemos","joo'uya wee irajaai"
"nademos","joo'uya washuunajaai"
"votemos","waneekaajai"
"caminemos","waraittaai waya"
"levantalo","püyaleraa"
"mira de nuevo","pirakawaa suchukua'a"
"mire de nuevo","piraka suchukua'a"
"miren de nuevo","jirakawaa suchukua'a"
"miren hacia adelante","jiraka palajana"
"contemplalo","piraja nia"
"miranos","piraka wamüin"
"buscalo","püchajawaa"
"el amor dura","tü aiwaa apüla kakaliaasü"
"mama lloro","a'yalajüsu maachon"
"sin comentarios","nnojotsü kasa tanüikintü"
"no hay problema","nnojotsü kasachiki sünainje"
"por favor sentaos","jaikkala paala"
"reemplazadlo","pü wanajawaata"
"sonria","püsirajaa"
"es vieja","laülaairü"
"ella esta ocupada","shiaka nnojotsü eein"
"canta","pi'rajaa"
"huele esto","keejuusü"
"ole esto","paataa eejuu tüü"
"empieza aqui","pu'ttaa ya'aya"
"no te duermas","nnojo putunkaai"
"mantente cerca","yaa pia pejeepunaa"
"deja de mentir","nnojo puküjain pa'alain"
"deja de bolacear","nnojo puküjain alawaa"
"toma un bus","paapan wanee e'ejena"
"toma notas","pushajaa saa'u"
"quedate con estos","makataa pia namaa"
"eso duele","tia aiisu"
"eso valdra","eejerü anain"
"con eso vale","süka tia anasü"
"esa es ella","shia shiaka tia"
"es ella","shia shiaka"
"ese es el","nia niakai chia"
"eso le pertenece","nunüin türaa"
"esta mojado","chü'lüipa"
"enga aron","emeejunashi"
"hicieron trampas","emeejawaa natuma"
"se quedaron","makatusuirü"
"se mantuvieron","yalashi waneepia"
"lo intentaron","noo'ulaküin"
"ellos votaron","naneekain nayainu"
"votaron","naneekain"
"ellos estan dentro","chashii naya paülü'ü"
"ellas estan dentro","chasü shiakaliru paülü'ü"
"ellos se apuntan","yainjani wamaa nayainu"
"hemos llegado","antüshi waya"
"esto es todo","tüü shia supüshua'a"
"este es","nia chii"
"esto funciona","tüü aneerü"
"esto trabaja","tüü maka a'yatasü"
"esto valdra","aneerü tüü wapüleeru"
"esto me basta","kerasü suma tüü"
"el tiempo vuela","kaalapüshatsü tü ka'ika"
"tom convino aquiescente","aa müshi tom süpüla tia"
"tom me mordio","nojottüin taya tom"
"tomas eructo","eeinashi tomas"
"tom llamo","ounekaashi tom"
"tomas hace trampa","tomas aainjüshi ata'ülaapüleru"
"tomas bailo","ayonnajüshi tomas"
"tom baila","ayonnajüi tom"
"tom lo hizo","naa'intüin tom"
"tomas conduce","tomas nülüjüintu"
"tom reprobo","a'ülüjiraashi tom"
"tom fracaso","isaasü nüchiki tom"
"tom me golpeo","nü'yaatüin taya tom"
"tom es grande","miyo'u tom"
"tom esta malo","mojulashi joolu'u tom"
"tom es nuevo","jekechi tom"
"tom es raro","waneejaishatashi tom"
"tom es viejo","laülaashi tom"
"tom ha salido","ajuittüshi tom"
"tom salto","awatüshi tom"
"tom miro","eirakashi tom"
"tom asintio","tom oonoshi sümaa nanüiki"
"tom obedecio","oonoshi tom"
"tom se detuvo","asha'walaashi tom"
"tomas telefoneo","ataleepanajashi tomas"
"tom rezo","oorajüshi tom"
"tom rezaba","oorajapüshi tom"
"tom me vio","niirüin taya tom"
"tom ronca","kookoloinshi tom"
"tom charlo","aashajashi tom"
"tom camino","waraittüshi tom"
"tom trabajo","a'yatapünaashi tom"
"tom bostezo","ajujaashi tom"
"tom morira","ouktuinjachi tom"
"tom pagara","a'walaajüinchi tom"
"tom es sordo","mache'esai tom"
"tom es rapido","kaalapüshi tom"
"tom es libre","taashiisü tom"
"tom es feo","kashüülaashi tom"
"mala suerte","mojusü nukuwaippa"
"que mala suerte","mojushatasü nukuwa'ipa"
"fue divertido","eesü talatawaa"
"era divertido","talataapüsü"
"mire esto","piiraja tüü"
"miren esto","jiiraka tüü"
"somos hombres","toolo waya"
"compramos cedes","ayalajüüshi cds"
"nosotros podemos pagar","eesü süpüla wawalaajüin"
"podemos probar","eesü woo'ulaküin"
"podemos ganar","eesü süpüla wakanajüin"
"nos divertimos","talatüshi waya"
"nos reimos","asirajüshi waya"
"lo hicimos","waainjüin"
"debemos irnos","cho'ujaa o'unuin waya"
"vimos a tom","werüin tom"
"te vimos","werüin pia"
"te veiamos","weraapüin pia"
"haremos la comida","waainjüin tü ekülüüka"
"fracasaremos","nnojolerü wainküin anain"
"ayudaremos","wamüliajenni"
"nosotros ayudaremos","wamüliajenni naya"
"echaremos la mano","wakaaliijaintü naya"
"cantaremos","ee'irajaanni waya"
"esperaremos","wa'atapajerü"
"nosotras esperaremos","wayakaninnu wa'atapajerü"
"trabajaremos","a'yatainjani waya"
"estamos de vuelta","ale'ejüshi waya wachukua'a"
"estamos ocupados","küpaashi waya"
"tenemos frio","akurutshi waya"
"estamos a mano","keraipa tü maka"
"estamos aca","anii waya"
"estamos perdidos","amüloishi waya"
"somos pobres","müliaashi waa'in"
"estamos hartos","külajasü waa'in"
"somos debiles","matsüinshi waya"
"pero que dia","anaakai saa'in ka'ika"
"que me cuentas","kasa eeka achikua'a"
"donde estoy","jalaashi taya"
"en donde estoy","jalaashi taya yaa"
"quien grito","jarai a'waataakai"
"quien esta aqui","jarai yaaka ya'aya"
"la madera arde","tü wunu'uko jotusu"
"podes irte","pu'unaa maala"
"fallaste","isaasü püchiki"
"eres grande","miyo'u pia"
"estas grande","miyo'uipa pia"
"estas triste","mojukai paa'in"
"todo esta correcto","lotusu süpüshua'a"
"esta usted loca","mamainnaakai pain"
"esta usted loco","jaashichikai pain"
"eres nuevo","jekechi pia"
"eres nueva","jeketü pia"
"sed creativos","atüjaainjachi aainjaa kasa anasü"
"se clemente","kamaneinchi pia"
"estad preparados","yapaainjani jia"
"sed razonables","pansaainjatü tü jikiirüka"
"especifica mas","pütijaashatüinjatü"
"se exhaustivo","shiashatüinjatü"
"se tolerante","pu'ulainjatü tia"
"estate vigilante","yaalainjachi pi'rajüin saa'u"
"estate atento","julüüjüntu paa'in"
"puedo comenzar","eesü süpüla o'ttaa"
"revisalo de nuevo","püüsana suchukua'a"
"sube a bordo","po'otowaa saa'u"
"vengan a verme","juuntaa jirajai taya"
"cociname","pü'lakaja tamüin"
"cocina para mi","pü'lakaja ma tamüin"
"cuenta conmigo","yaleechi taya maa"
"ha muerto tom","ouktuichipa tom"
"hazlo al ratito","paa'inraa yaaülerü"
"no lo hagan","nnojo jaa'inrüin"
"no entres","nnojo pükerotüin"
"no entre usted","piaka nnojo pükerotüin"
"no sonrian","nnojo jasirajüin"
"terminen esto","jaja'lajeera türaa"
"lanza una moneda","pujutaa wanee neerü"
"vistete","pa'anawaa ma"
"vestite","pa'aneera ma"
"ve y descubrelo","pu'unaa jee pünterü shi anain"
"ve por ayuda","püchajaa kaaliiwa"
"ve por delante","pu'unaa wapüleerua"
"ve recto","lotoo pia"
"ve por ahi","pu'unaa cha'aya"
"ve por alli","pu'unaa sa'aya"
"vayanse a dormir","ju'unaa jutunkaai"
"anda con tom","chaa nümaa tom"
"toma un asiento","püikkalaa paala"
"da un vistazo","pünalayaa paala"
"tome asiento","püikkalaa"
"el sabe nadar","atüjaashi niakai ashuunajaa"
"el lo encontro","nüntaa anain niakai"
"el se escapo","a'luwatashi niakai"
"el tiene agallas","yalayashatashi niakai"
"el nos ayuda","nakaaliijeni waya niakai"
"el esta solo","nimüiwa'ashi"
"es feliz","talatshi"
"el esta feliz","talatshi niakai"
"el es odiado","kanainshi naa'in niakai"
"el es asqueroso","yarüttüshi niakai"
"el da grima","nnojotsü tacheküin nia"
"el esta cansado","mapüsaashi niakai"
"el es joven","jima'au niakai"
"el se levanto","atamashi niakai"
"el es pajero","a'ala ne niakai"
"esta fingiendo","a'alawaa tü naa'inraka"
"el esta delgado","aürütshi niakai"
"el es fuerte","katsüinshi niakai"
